CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,NumSupportTickets,NumServicesSubscribed,PreviousComplaints,Churn
CUST100067,56.0,Male,72,73.58,4517.3,Month-to-month,Bank transfer,2,7,0,0
CUST100068,47.0,Male,17,54.09,851.74,One year,Bank transfer,0,3,0,0
CUST100069,33.0,Male,2,15.5,29.44,Month-to-month,Credit card,1,1,1,0
CUST100070,47.0,Male,23,66.17,1611.42,One year,Mailed check,0,5,1,0
CUST100071,64.0,Female,10,80.58,763.57,Month-to-month,Electronic check,2,7,0,1
CUST100072,41.0,Male,46,63.59,2494.61,One year,Credit card,3,5,0,0
CUST100073,64.0,Male,14,82.94,1089.27,Month-to-month,Mailed check,1,7,1,1
CUST100074,18.0,Male,5,41.26,201.09,Month-to-month,Bank transfer,1,3,0,0
CUST100075,54.0,Female,5,27.05,147.05,Month-to-month,Bank transfer,0,3,0,0
CUST100076,43.0,Female,35,49.42,1877.17,Two year,Mailed check,1,4,1,0
CUST100077,38.0,Male,7,58.07,363.9,Month-to-month,Electronic check,2,6,1,1
CUST100078,43.0,Female,35,52.15,1635.95,One year,Bank transfer,0,5,0,0
CUST100079,18.0,Female,6,48.06,256.88,Month-to-month,Credit card,4,5,0,1
CUST100080,39.0,Female,9,70.18,661.45,Month-to-month,Bank transfer,0,7,0,1
CUST100081,47.0,Male,15,45.23,577.7,Two year,Mailed check,1,4,0,0
CUST100082,63.0,Female,69,62.98,3831.94,Month-to-month,Electronic check,2,8,1,1
CUST100083,35.0,Female,64,63.6,4007.27,Two year,Electronic check,7,5,0,0
CUST100084,31.0,Female,6,91.76,502.05,One year,Electronic check,1,7,0,1
CUST100085,35.0,Female,11,30.85,296.28,One year,Electronic check,1,1,0,0
CUST100086,55.0,Female,4,40.38,151.82,Month-to-month,Credit card,0,3,0,0
CUST100087,47.0,Male,17,41.56,648.98,One year,Credit card,1,3,1,0
CUST100088,35.0,Female,15,62.63,918.57,Two year,Bank transfer,2,6,1,1
CUST100089,49.0,Female,55,42.72,2572.36,Month-to-month,Mailed check,1,3,0,0
CUST100090,97.0,Female,64,33.7,1900.31,Two year,Electronic check,5,2,0,0
CUST100091,56.0,Male,12,19.27,218.1,Two year,Credit card,2,1,0,0
CUST100092,32.0,Female,16,39.46,683.76,Two year,Mailed check,2,1,0,0
CUST100093,37.0,Female,54,38.1,2199.81,Month-to-month,Electronic check,3,4,0,0
CUST100094,37.0,Male,39,39.75,1470.52,Two year,Mailed check,5,2,0,0
CUST100095,22.0,Female,0,57.19,57.19,One year,Credit card,0,5,1,1
CUST100096,46.0,Female,9,81.21,637.31,One year,Credit card,2,6,1,0
CUST100097,46.0,Female,13,28.73,384.0,Month-to-month,Electronic check,2,1,1,0
CUST100098,42.0,Male,6,31.12,204.12,Month-to-month,Credit card,1,2,0,0
CUST100099,39.0,Male,5,32.02,157.6,Month-to-month,Electronic check,0,2,1,0
CUST100100,22.0,Female,1,74.32,72.43,Month-to-month,Electronic check,2,7,1,1
CUST100101,36.0,Male,25,16.86,378.01,One year,Credit card,1,1,0,0
CUST100102,37.0,Female,7,75.87,535.58,Two year,Credit card,0,8,4,1
CUST100103,31.0,Male,1,59.72,59.58,Month-to-month,Bank transfer,0,7,0,1
CUST100104,40.0,Female,6,42.62,259.04,One year,Bank transfer,0,4,1,1
CUST100105,48.0,Male,39,34.75,1160.8,Month-to-month,Credit card,0,2,0,0
CUST100106,68.0,Female,46,44.4,2016.22,Month-to-month,Credit card,2,3,0,0
CUST100107,44.0,Male,16,18.17,290.35,Month-to-month,Credit card,0,2,1,0
CUST100108,46.0,Male,13,56.9,667.12,One year,Bank transfer,2,5,1,0
CUST100109,41.0,Male,72,30.51,1981.62,Two year,Credit card,0,1,0,0
CUST100110,18.0,Male,5,80.7,370.84,Month-to-month,Credit card,2,8,2,1
CUST100111,42.0,Female,6,52.93,326.45,Month-to-month,Electronic check,2,5,0,1
CUST100112,43.0,Female,8,46.7,374.19,Month-to-month,Credit card,3,4,0,1
CUST100113,76.0,Male,5,61.67,327.3,Two year,Mailed check,1,6,1,0
CUST100114,39.0,Female,11,36.91,375.12,Month-to-month,Mailed check,2,3,0,0
CUST100115,46.0,Male,58,27.39,1712.56,Month-to-month,Bank transfer,2,1,1,0
CUST100116,42.0,Female,23,52.46,1249.93,Month-to-month,Electronic check,2,2,0,1
CUST100117,26.0,Female,13,36.05,444.63,One year,Mailed check,4,3,3,1
CUST100118,58.0,Female,65,31.45,1786.3,One year,Credit card,2,2,2,0
CUST100119,53.0,Male,1,49.59,45.34,One year,Electronic check,1,4,1,1
CUST100120,53.0,Female,6,60.5,395.38,Month-to-month,Mailed check,2,6,1,1
CUST100121,29.0,Male,20,90.79,1684.32,Two year,Credit card,1,8,1,0
CUST100122,62.0,Female,23,63.03,1351.8,One year,Mailed check,2,8,1,0
CUST100123,22.0,Male,1,21.75,19.52,Month-to-month,Mailed check,0,1,2,0
CUST100124,50.0,Female,12,56.55,713.69,One year,Mailed check,0,4,0,0
CUST100125,,Female,25,47.65,1094.65,Two year,Mailed check,0,4,1,0
CUST100126,28.0,Female,29,59.43,1607.25,Two year,Bank transfer,1,6,1,0
CUST100127,34.0,Male,24,53.53,1225.09,Two year,Credit card,3,4,1,0
CUST100128,43.0,Female,9,57.25,493.83,One year,Mailed check,4,4,0,0
CUST100129,35.0,Male,2,35.69,68.01,Month-to-month,Credit card,0,2,2,1
CUST100130,20.0,Female,13,67.59,857.53,Month-to-month,Mailed check,3,7,1,1
CUST100131,43.0,Male,3,61.65,194.87,Month-to-month,Electronic check,1,5,1,1
CUST100132,27.0,Male,71,30.78,2305.19,One year,Bank transfer,1,2,0,0
CUST100133,49.0,Female,15,87.96,1384.81,Month-to-month,Bank transfer,0,8,0,1
CUST100134,29.0,Male,9,77.87,613.42,Month-to-month,Bank transfer,5,6,0,1
CUST100135,64.0,Male,35,21.16,777.57,Two year,Electronic check,4,3,2,0
CUST100136,31.0,Male,17,66.89,1000.75,Two year,Electronic check,0,6,0,0
CUST100137,37.0,Male,9,52.11,413.27,One year,Electronic check,0,6,1,0
CUST100138,53.0,Female,40,85.53,3718.73,Two year,Electronic check,3,6,0,0
CUST100139,25.0,Female,48,62.26,3152.4,Month-to-month,Bank transfer,1,6,0,0
CUST100140,45.0,Male,27,55.97,1493.21,Month-to-month,Electronic check,1,4,0,0
CUST100141,60.0,Male,1,65.72,70.24,One year,Bank transfer,1,6,0,1
CUST100142,19.0,Male,20,35.58,780.87,One year,Electronic check,3,3,1,0
CUST100143,45.0,Male,35,58.62,2057.16,One year,Electronic check,1,6,1,0
CUST100144,46.0,Female,4,46.69,187.36,Month-to-month,Mailed check,2,2,1,1
CUST100145,53.0,Female,6,57.65,359.25,Month-to-month,Electronic check,1,4,1,0
CUST100146,25.0,Male,51,97.55,4517.52,One year,Credit card,0,8,0,0
CUST100147,24.0,Male,0,34.44,34.44,Month-to-month,,2,2,1,1
CUST100148,49.0,Male,34,84.3,2980.55,One year,Mailed check,1,8,2,0
CUST100149,46.0,Female,15,47.86,672.12,Two year,Credit card,0,4,0,0
CUST100150,46.0,Female,14,31.7,392.22,One year,Bank transfer,2,2,0,0
CUST100151,47.0,Male,0,73.66,73.66,Month-to-month,Electronic check,2,8,1,0
CUST100152,32.0,Male,41,26.67,1027.49,Month-to-month,Mailed check,2,1,2,1
CUST100153,45.0,Female,11,51.69,620.51,Month-to-month,Bank transfer,3,5,1,0
CUST100154,46.0,Female,19,61.54,1197.9,Two year,Credit card,0,5,0,0
CUST100155,32.0,Male,27,51.36,1362.75,Two year,Credit card,1,4,1,0
CUST100156,68.0,Male,29,28.3,896.38,Two year,Electronic check,3,1,0,0
CUST100157,49.0,Male,72,55.4,4291.09,Month-to-month,Credit card,1,3,1,0
CUST100158,25.0,Female,18,25.7,452.42,One year,Electronic check,0,1,0,0
CUST100159,51.0,Male,12,80.05,1034.01,One year,Electronic check,1,7,1,0
CUST100160,28.0,Male,72,66.41,4547.59,One year,Credit card,2,4,2,0
CUST100161,53.0,Female,25,36.45,827.06,One year,Electronic check,1,1,0,0
CUST100162,58.0,Male,8,51.23,372.2,Month-to-month,Electronic check,0,3,2,1
CUST100163,31.0,Female,3,47.55,144.87,Month-to-month,Electronic check,2,4,0,0
CUST100164,55.0,Male,44,59.84,,Two year,Mailed check,3,5,0,0
CUST100165,48.0,Male,11,55.45,618.94,Month-to-month,Bank transfer,3,6,0,0
CUST100166,54.0,Female,26,29.99,796.52,Two year,Bank transfer,0,1,1,0
CUST100167,69.0,Male,15,60.2,772.59,Month-to-month,Electronic check,2,5,3,1
CUST100168,39.0,Female,5,58.19,251.24,Month-to-month,Mailed check,3,5,2,1
CUST100169,31.0,Female,22,42.22,913.21,Two year,Credit card,3,2,0,0
CUST100170,30.0,Male,2,32.34,58.07,Two year,Credit card,1,3,1,1
CUST100171,31.0,Female,13,87.08,1141.25,Month-to-month,Electronic check,3,7,1,1
CUST100172,41.0,Male,19,73.21,1374.36,One year,Credit card,0,6,0,0
CUST100173,47.0,Female,14,25.43,354.75,Month-to-month,Bank transfer,1,1,0,1
CUST100174,46.0,Male,33,56.81,1735.28,One year,Electronic check,0,5,0,0
CUST100175,54.0,Female,42,61.84,2623.15,Two year,Electronic check,3,5,0,0
CUST100176,,Male,35,86.17,3188.98,Two year,Electronic check,0,7,0,0
CUST100177,62.0,Male,1,42.81,47.07,Month-to-month,Bank transfer,1,3,0,1
CUST100178,38.0,Female,5,67.15,355.76,Month-to-month,Electronic check,1,6,0,0
CUST100179,80.0,Female,18,82.14,1462.81,Two year,Mailed check,2,8,0,1
CUST100180,51.0,Male,66,80.26,4758.74,One year,Electronic check,0,6,1,0
CUST100181,30.0,Male,43,71.05,3117.36,Two year,Credit card,1,7,2,0
CUST100182,27.0,Female,44,57.76,2755.97,Two year,Electronic check,0,5,0,0
CUST100183,49.0,Female,9,69.71,566.51,Month-to-month,Credit card,3,5,2,1
CUST100184,39.0,Male,13,59.18,703.18,One year,Credit card,0,5,1,0
CUST100185,52.0,Male,15,67.1,893.02,One year,Electronic check,1,5,0,0
CUST100186,49.0,Male,4,74.71,309.05,Month-to-month,Mailed check,2,8,0,0
CUST100187,41.0,Female,1,32.36,30.8,One year,Electronic check,0,2,0,0
CUST100188,30.0,Male,70,45.88,2780.2,One year,Credit card,1,2,3,0
CUST100189,21.0,Male,7,68.59,513.13,Month-to-month,Mailed check,1,7,0,1
CUST100190,36.0,Female,7,64.79,448.73,Month-to-month,Electronic check,0,6,0,1
CUST100191,54.0,Male,2,52.05,97.1,One year,Electronic check,2,4,0,0
CUST100192,45.0,Male,63,74.09,4368.92,Month-to-month,Mailed check,2,8,0,0
CUST100193,25.0,Male,21,78.69,1524.53,Two year,Credit card,0,8,1,0
CUST100194,44.0,Male,26,26.9,674.13,Two year,Bank transfer,4,1,2,0
CUST100195,47.0,Male,58,42.37,2295.91,Two year,Credit card,1,3,1,0
CUST100196,30.0,Female,10,60.24,594.56,Month-to-month,Mailed check,2,4,0,1
CUST100197,44.0,Male,23,46.33,1111.81,Month-to-month,Electronic check,0,2,2,0
CUST100198,43.0,Female,1,27.15,27.66,Month-to-month,Credit card,2,2,1,1
CUST100199,26.0,Female,5,34.89,161.12,Month-to-month,Electronic check,1,2,0,0
CUST100200,47.0,Female,43,55.39,2339.34,Month-to-month,Credit card,3,4,0,1
CUST100201,50.0,Male,35,94.13,3492.33,Two year,Mailed check,3,8,1,0
CUST100202,57.0,Male,10,39.75,344.65,Month-to-month,Electronic check,0,2,0,0
CUST100203,57.0,Male,11,52.33,500.55,One year,Bank transfer,1,4,0,0
CUST100204,23.0,Male,18,39.33,700.18,Month-to-month,Credit card,3,2,2,1
CUST100205,29.0,Male,0,63.39,63.39,Month-to-month,Credit card,1,5,0,1
CUST100206,49.0,Female,7,74.58,471.34,One year,Electronic check,0,8,0,0
CUST100207,49.0,Male,6,59.54,370.21,One year,Electronic check,1,5,0,0
CUST100208,49.0,Male,7,37.67,266.74,One year,Bank transfer,3,1,0,0
CUST100209,80.0,Male,39,80.34,3386.5,Two year,Bank transfer,5,8,0,0
CUST100210,50.0,Female,8,35.04,250.11,Two year,Bank transfer,4,2,0,0
CUST100211,58.0,Male,5,72.06,373.94,Month-to-month,Electronic check,0,7,1,1
CUST100212,55.0,Female,17,15.0,222.08,One year,Credit card,1,1,0,0
CUST100213,51.0,Male,48,50.16,2386.79,Month-to-month,Bank transfer,1,4,0,0
CUST100214,38.0,Female,7,28.41,196.48,Month-to-month,Credit card,2,1,1,0
CUST100215,53.0,Female,2,29.9,56.64,Month-to-month,Mailed check,0,2,0,0
CUST100216,31.0,Male,11,40.76,475.77,Month-to-month,Mailed check,1,4,2,1
CUST100217,39.0,Male,33,66.96,1880.64,One year,Credit card,1,7,0,0
CUST100218,35.0,Male,19,56.11,1044.82,Month-to-month,Bank transfer,1,4,0,0
CUST100219,43.0,Male,41,73.78,2735.45,Month-to-month,Credit card,3,5,1,0
CUST100220,74.0,Female,72,61.06,4554.04,Two year,Credit card,1,4,0,0
CUST100221,18.0,Female,38,39.25,1283.83,Month-to-month,Bank transfer,1,4,4,1
CUST100222,52.0,Female,22,32.84,764.3,Two year,Mailed check,1,1,1,0
CUST100223,19.0,Female,16,68.69,1164.46,Month-to-month,Electronic check,3,7,1,1
CUST100224,35.0,Male,1,61.34,64.91,Two year,Electronic check,1,6,1,0
CUST100225,57.0,Male,72,46.3,2960.71,Two year,Electronic check,0,4,0,0
CUST100226,43.0,Female,12,47.65,576.15,Two year,Electronic check,3,3,1,0
CUST100227,27.0,Male,4,73.67,251.54,One year,Electronic check,4,6,1,0
CUST100228,32.0,Female,26,57.22,1579.94,Month-to-month,Electronic check,1,5,0,0
CUST100229,52.0,Male,8,73.35,604.84,Two year,Mailed check,2,7,0,1
CUST100230,32.0,Male,21,77.71,1603.82,Two year,Mailed check,0,7,0,0
CUST100231,45.0,Female,21,86.54,1876.67,Two year,Electronic check,0,8,1,0
CUST100232,43.0,Male,14,67.41,824.43,Two year,Electronic check,1,5,0,1
CUST100233,33.0,Female,43,39.73,1677.92,One year,Bank transfer,1,4,0,0
CUST100234,72.0,Female,7,26.16,168.99,One year,Mailed check,3,1,2,0
CUST100235,51.0,Female,14,57.46,879.38,One year,Mailed check,3,6,2,1
CUST100236,18.0,Female,19,81.59,1649.86,One year,Bank transfer,0,8,0,1
CUST100237,45.0,Female,26,56.19,1509.62,Month-to-month,Credit card,1,5,1,0
CUST100238,33.0,Female,37,57.63,2310.22,Two year,Mailed check,0,5,3,0
CUST100239,54.0,Male,12,35.6,400.16,Month-to-month,Bank transfer,3,3,1,0
CUST100240,31.0,Male,25,38.1,1024.15,Month-to-month,Credit card,2,4,0,0
CUST100241,40.0,Female,4,65.24,243.03,Month-to-month,Credit card,1,8,0,0
CUST100242,49.0,Male,65,64.95,4361.91,Two year,Mailed check,1,6,1,0
CUST100243,54.0,Male,12,54.55,676.92,Two year,Bank transfer,2,5,0,0
CUST100244,25.0,Male,31,68.59,1817.1,Month-to-month,Electronic check,0,7,0,0
CUST100245,37.0,Female,0,68.58,68.58,Month-to-month,Bank transfer,1,5,1,1
CUST100246,35.0,Female,6,51.12,262.2,One year,Credit card,3,5,1,0
CUST100247,33.0,Male,16,69.33,1219.4,Two year,Mailed check,6,5,2,0
CUST100248,67.0,Female,51,94.99,4265.81,Two year,Credit card,4,8,2,0
CUST100249,48.0,Female,18,15.0,266.14,One year,Mailed check,2,1,0,0
CUST100250,24.0,Female,64,34.74,2329.28,Two year,Credit card,1,2,0,0
CUST100251,55.0,Female,16,38.8,558.92,One year,Bank transfer,3,3,1,0
CUST100252,72.0,Female,16,50.71,788.04,One year,Electronic check,1,7,1,1
CUST100253,56.0,Male,3,15.0,45.08,Month-to-month,Bank transfer,1,1,0,0
CUST100254,21.0,Female,39,48.2,1673.12,One year,Electronic check,0,3,1,0
CUST100255,35.0,Male,7,74.15,542.22,One year,Electronic check,1,5,1,0
CUST100256,60.0,Female,55,89.22,4538.25,One year,Credit card,1,8,0,0
CUST100257,32.0,Female,58,44.59,2334.73,One year,Electronic check,1,3,0,0
CUST100258,48.0,Male,69,49.83,3402.42,One year,Credit card,2,4,0,0
CUST100259,53.0,Male,18,63.46,1088.11,Month-to-month,Electronic check,4,4,0,0
CUST100260,29.0,Female,27,51.19,1492.8,One year,Electronic check,4,2,2,1
CUST100261,41.0,Male,36,29.31,1129.04,Month-to-month,Credit card,1,2,1,0
CUST100262,18.0,Female,3,26.0,75.73,Month-to-month,Mailed check,1,3,2,0
CUST100263,28.0,Male,22,15.0,310.14,Two year,Bank transfer,2,1,0,0
CUST100264,38.0,Male,1,36.58,34.07,One year,Bank transfer,0,1,0,0
CUST100265,25.0,Female,17,57.62,898.13,Two year,Bank transfer,3,5,1,0
CUST100266,65.0,Female,4,27.47,108.36,Month-to-month,Credit card,1,1,0,1
CUST100267,22.0,Female,5,19.67,103.39,One year,Bank transfer,1,2,1,0
CUST100268,36.0,Male,11,19.97,203.79,Two year,Mailed check,0,1,1,0
CUST100269,44.0,Female,14,55.64,699.13,Two year,Credit card,2,5,0,0
CUST100270,62.0,Female,23,51.66,1151.19,Two year,Electronic check,2,4,0,0
CUST100271,22.0,Female,2,22.81,39.56,Month-to-month,Mailed check,1,1,0,1
CUST100272,,Female,17,17.7,308.52,Two year,Credit card,2,1,1,0
CUST100273,42.0,Female,5,27.72,135.77,Month-to-month,Bank transfer,3,2,1,1
CUST100274,28.0,Male,20,51.67,1006.63,Month-to-month,Credit card,1,3,0,1
CUST100275,48.0,Male,24,51.96,1153.65,One year,Bank transfer,2,4,2,1
CUST100276,45.0,Female,20,86.9,1870.38,Month-to-month,Credit card,1,8,2,1
CUST100277,34.0,Male,32,34.81,972.03,Two year,Credit card,1,3,1,0
CUST100278,43.0,Female,10,58.37,623.07,Month-to-month,Electronic check,0,8,0,1
CUST100279,37.0,Male,35,53.82,1778.54,One year,Electronic check,2,5,1,1
CUST100280,44.0,Female,14,51.07,765.14,Two year,Mailed check,1,5,0,1
CUST100281,51.0,Female,16,44.79,739.71,One year,Bank transfer,4,3,0,0
CUST100282,64.0,Male,25,60.29,1320.42,Month-to-month,Electronic check,1,2,1,1
CUST100283,25.0,Male,0,71.56,71.56,Month-to-month,Electronic check,2,6,0,1
CUST100284,72.0,Male,25,103.89,2650.61,Two year,Electronic check,0,8,1,0
CUST100285,18.0,Female,23,38.55,760.81,One year,Credit card,0,2,2,0
CUST100286,40.0,Female,9,60.96,484.68,One year,Bank transfer,2,6,0,0
CUST100287,50.0,Male,2,68.78,138.79,Month-to-month,Mailed check,0,6,1,1
CUST100288,46.0,Female,2,48.25,98.01,Month-to-month,Electronic check,3,2,1,1
CUST100289,33.0,Male,62,80.64,5182.98,Month-to-month,Mailed check,1,6,0,0
CUST100290,39.0,Male,28,61.4,1770.88,One year,Electronic check,1,6,0,0
CUST100291,35.0,Female,3,68.03,207.13,One year,Electronic check,0,6,0,0
CUST100292,34.0,Male,11,38.57,441.9,One year,Credit card,0,4,1,0
CUST100293,54.0,Male,22,64.6,1412.35,One year,Credit card,2,5,0,1
CUST100294,47.0,Male,43,78.43,3086.5,One year,Electronic check,4,6,0,0
CUST100295,32.0,Male,1,58.32,62.87,One year,Electronic check,0,5,0,0
CUST100296,55.0,Male,6,68.66,352.04,Month-to-month,Electronic check,1,7,1,1
CUST100297,46.0,Male,53,60.88,3038.33,Month-to-month,Mailed check,1,5,0,0
CUST100298,53.0,Female,0,77.34,77.34,Two year,Electronic check,2,7,0,1
CUST100299,51.0,Male,5,50.65,242.31,Month-to-month,Electronic check,2,4,1,1
CUST100300,30.0,Female,72,59.43,3663.68,Two year,Electronic check,1,5,0,0
CUST100301,34.0,Male,23,40.61,809.33,One year,Credit card,3,3,1,0
CUST100302,52.0,Male,7,33.97,240.68,One year,Bank transfer,0,1,0,0
CUST100303,51.0,Female,2,55.89,121.98,Month-to-month,Bank transfer,0,4,0,0
CUST100304,42.0,Female,1,18.14,17.92,Month-to-month,Mailed check,0,1,1,0
CUST100305,44.0,Male,7,33.92,231.91,Month-to-month,Credit card,2,3,0,1
CUST100306,60.0,Female,51,31.97,1515.65,One year,Credit card,1,2,0,0
CUST100307,34.0,Female,13,39.89,474.06,Month-to-month,Electronic check,1,2,1,1
CUST100308,50.0,Female,31,67.18,1781.12,One year,Electronic check,1,6,1,0
CUST100309,39.0,Female,60,76.85,4234.0,Month-to-month,Mailed check,1,8,2,0
CUST100310,39.0,Male,13,36.09,451.47,Two year,Electronic check,1,2,0,0
CUST100311,57.0,Male,5,47.35,212.95,Month-to-month,Mailed check,3,4,0,1
CUST100312,54.0,Female,17,41.04,608.26,Month-to-month,Bank transfer,1,2,1,1
CUST100313,53.0,Male,57,52.66,3089.96,Month-to-month,Mailed check,3,4,1,1
CUST100314,60.0,Female,39,47.48,1988.11,Month-to-month,Electronic check,1,4,3,1
CUST100315,42.0,Male,2,27.85,60.39,Month-to-month,Mailed check,1,1,1,1
CUST100316,52.0,Male,28,44.52,1252.17,Month-to-month,Credit card,1,2,0,1
CUST100317,38.0,Female,20,53.44,922.58,Two year,Electronic check,0,5,0,0
CUST100318,47.0,Male,57,77.22,4556.54,Month-to-month,Bank transfer,1,7,0,1
CUST100319,40.0,Female,3,33.44,88.03,Month-to-month,Electronic check,1,2,0,0
CUST100320,43.0,Female,18,37.42,685.3,Two year,Electronic check,0,2,1,0
CUST100321,50.0,Female,51,28.76,1532.53,Two year,Bank transfer,2,2,0,0
CUST100322,31.0,Female,13,66.88,896.8,Month-to-month,Electronic check,1,6,0,1
CUST100323,,Female,16,66.86,1163.87,Two year,Electronic check,2,5,0,0
CUST100324,28.0,Female,2,50.5,104.49,Month-to-month,Electronic check,3,5,0,1
CUST100325,97.0,Female,8,39.36,322.22,One year,Bank transfer,2,4,0,0
CUST100326,58.0,Male,9,47.67,392.75,Month-to-month,Bank transfer,1,5,1,1
